               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.022968,           0.0091436,                   0,             0.99116,             0.99251,             0.99481,             0.77584,            0.022052,           0.0034696,                   0,             0.00925,             0.00925,             0.00925
                  52,            0.022984,           0.0091564,                   0,             0.99521,             0.98977,             0.99481,             0.77453,            0.021506,           0.0034602,                   0,            0.009235,            0.009235,            0.009235
                  53,            0.022878,           0.0090669,                   0,             0.99385,             0.99046,             0.99483,             0.77895,            0.021443,           0.0034643,                   0,             0.00922,             0.00922,             0.00922
                  54,            0.023017,           0.0091485,                   0,             0.99045,             0.98978,             0.99454,             0.77526,            0.021395,           0.0034839,                   0,            0.009205,            0.009205,            0.009205
                  55,             0.02299,           0.0091459,                   0,             0.98911,             0.98978,             0.99453,              0.7785,            0.021645,           0.0034884,                   0,             0.00919,             0.00919,             0.00919
                  56,            0.022807,           0.0090478,                   0,             0.98981,              0.9925,             0.99437,             0.77742,            0.021346,            0.003449,                   0,            0.009175,            0.009175,            0.009175
                  57,            0.022903,           0.0090053,                   0,             0.98977,             0.98841,              0.9942,             0.77626,             0.02138,           0.0034828,                   0,             0.00916,             0.00916,             0.00916
                  58,            0.022764,           0.0091125,                   0,             0.99248,             0.98842,             0.99406,             0.77795,            0.021211,           0.0034727,                   0,            0.009145,            0.009145,            0.009145
                  59,            0.022661,           0.0089485,                   0,             0.99114,             0.99113,              0.9943,             0.77927,            0.021305,           0.0034467,                   0,             0.00913,             0.00913,             0.00913
                  60,            0.022692,           0.0089926,                   0,             0.98847,             0.99251,             0.99471,             0.77849,            0.021407,           0.0034777,                   0,            0.009115,            0.009115,            0.009115
                  61,            0.022822,           0.0090488,                   0,             0.99522,             0.99319,             0.99488,             0.77932,             0.02132,           0.0034566,                   0,              0.0091,              0.0091,              0.0091
                  62,            0.022515,           0.0089643,                   0,             0.99181,             0.98978,             0.99457,             0.77843,            0.021312,           0.0034732,                   0,            0.009085,            0.009085,            0.009085
